date,Action,symbol,Quantity,Price,close,adj,vol,pos,curval,curcost,curpl,trdnum
2018-05-07,NA,AMZN,0,0,1600.140015,1600.140015,3801900,3,4800.420045,-4458.9,341.5200450000002,NA
2018-05-08,NA,AMZN,0,0,1592.390015,1592.390015,3067900,3,4777.170045,-4458.9,318.2700450000002,NA
2018-05-09,NA,AMZN,0,0,1608,1608,3637300,3,4824,-4458.9,365.10000000000036,NA
2018-05-10,NA,AMZN,0,0,1609.079956,1609.079956,2817500,3,4827.239868000001,-4458.9,368.33986800000093,NA
2018-05-11,NA,AMZN,0,0,1602.910034,1602.910034,2263900,3,4808.7301019999995,-4458.9,349.8301019999999,NA
2018-05-14,NA,AMZN,0,0,1601.540039,1601.540039,2509500,3,4804.620117,-4458.9,345.72011700000076,NA
2018-05-15,NA,AMZN,0,0,1576.119995,1576.119995,5077500,3,4728.359985,-4458.9,269.4599850000004,NA
2018-05-16,NA,AMZN,0,0,1587.280029,1587.280029,2570600,3,4761.8400870000005,-4458.9,302.94008700000086,NA
2018-05-17,NA,AMZN,0,0,1581.76001,1581.76001,2147600,3,4745.28003,-4458.9,286.38003000000026,NA
2018-05-18,NA,AMZN,0,0,1574.369995,1574.369995,2642600,3,4723.109985,-4458.9,264.2099850000004,NA
2018-05-21,NA,AMZN,0,0,1585.459961,1585.459961,2925200,3,4756.379883,-4458.9,297.479883,NA
2018-05-22,NA,AMZN,0,0,1581.400024,1581.400024,2115600,3,4744.200072,-4458.9,285.300072,NA
2018-05-23,NA,AMZN,0,0,1601.859985,1601.859985,3299800,3,4805.579955,-4458.9,346.6799550000005,NA
2018-05-24,NA,AMZN,0,0,1603.069946,1603.069946,3430000,3,4809.209838000001,-4458.9,350.30983800000104,NA
2018-05-25,NA,AMZN,0,0,1610.150024,1610.150024,2698400,3,4830.450072,-4458.9,371.550072,NA
2018-05-29,NA,AMZN,0,0,1612.869995,1612.869995,3846500,3,4838.609985,-4458.9,379.7099850000004,NA
2018-05-30,NA,AMZN,0,0,1624.890015,1624.890015,2907400,3,4874.670045,-4458.9,415.7700450000002,NA
2018-05-31,NA,AMZN,0,0,1629.619995,1629.619995,3166300,3,4888.859985,-4458.9,429.9599850000004,NA
2018-06-01,NA,AMZN,0,0,1641.540039,1641.540039,3313400,3,4924.620117,-4458.9,465.72011700000076,NA
2018-06-04,NA,AMZN,0,0,1665.27002,1665.27002,3187700,3,4995.81006,-4458.9,536.9100600000002,NA
2018-06-05,NA,AMZN,0,0,1696.349976,1696.349976,4782200,3,5089.049928,-4458.9,630.1499280000007,NA
2018-06-06,NA,AMZN,0,0,1695.75,1695.75,5473200,3,5087.25,-4458.9,628.3500000000004,NA
2018-06-07,NA,AMZN,0,0,1689.300049,1689.300049,3765700,3,5067.900147,-4458.9,609.0001470000007,NA
2018-06-08,NA,AMZN,0,0,1683.98999,1683.98999,2955100,3,5051.96997,-4458.9,593.0699700000005,NA
2018-06-11,NA,AMZN,0,0,1689.119995,1689.119995,2335500,3,5067.359985,-4458.9,608.4599850000004,NA
2018-06-12,NA,AMZN,0,0,1698.75,1698.75,2259200,3,5096.25,-4458.9,637.3500000000004,NA
2018-06-13,NA,AMZN,0,0,1704.859985,1704.859985,3327500,3,5114.579955,-4458.9,655.6799550000005,NA
2018-06-14,NA,AMZN,0,0,1723.859985,1723.859985,3174400,3,5171.579955,-4458.9,712.6799550000005,NA
2018-06-15,NA,AMZN,0,0,1715.969971,1715.969971,4777600,3,5147.9099129999995,-4458.9,689.0099129999999,NA
2018-06-18,NA,AMZN,0,0,1723.790039,1723.790039,3107700,3,5171.370117,-4458.9,712.4701170000008,NA
2018-06-19,NA,AMZN,0,0,1734.780029,1734.780029,4290100,3,5204.3400870000005,-4458.9,745.4400870000009,NA
2018-06-20,NA,AMZN,0,0,1750.079956,1750.079956,4332600,3,5250.239868000001,-4458.9,791.3398680000009,NA
2018-06-21,NA,AMZN,0,0,1730.219971,1730.219971,4941100,3,5190.6599129999995,-4458.9,731.7599129999999,NA
2018-06-22,NA,AMZN,0,0,1715.670044,1715.670044,4075100,3,5147.010131999999,-4458.9,688.1101319999998,NA
2018-06-25,NA,AMZN,0,0,1663.150024,1663.150024,7511200,3,4989.450072,-4458.9,530.550072,NA
2018-06-26,NA,AMZN,0,0,1691.089966,1691.089966,4386600,3,5073.2698980000005,-4458.9,614.3698980000008,NA
2018-06-27,NA,AMZN,0,0,1660.51001,1660.51001,4872200,3,4981.53003,-4458.9,522.6300300000003,NA
2018-06-28,NA,AMZN,0,0,1701.449951,1701.449951,4529700,3,5104.349853,-4458.9,645.4498530000001,NA
2018-06-29,NA,AMZN,0,0,1699.800049,1699.800049,4543500,3,5099.400147,-4458.9,640.5001470000007,NA
2018-07-02,NA,AMZN,0,0,1713.780029,1713.780029,3185700,3,5141.3400870000005,-4458.9,682.4400870000009,NA
2018-07-03,NA,AMZN,0,0,1693.959961,1693.959961,2177300,3,5081.879883,-4458.9,622.979883,NA
2018-07-05,NA,AMZN,0,0,1699.72998,1699.72998,2983100,3,5099.18994,-4458.9,640.2899400000006,NA
2018-07-06,NA,AMZN,0,0,1710.630005,1710.630005,2650300,3,5131.890015,-4458.9,672.9900150000003,NA
2018-07-09,NA,AMZN,0,0,1739.02002,1739.02002,3012000,3,5217.06006,-4458.9,758.1600600000002,NA
2018-07-10,NA,AMZN,0,0,1743.069946,1743.069946,3002900,3,5229.209838000001,-4458.9,770.309838000001,NA
2018-07-11,NA,AMZN,0,0,1755,1755,3209800,3,5265,-4458.9,806.1000000000004,NA
2018-07-12,NA,AMZN,0,0,1796.619995,1796.619995,4532700,3,5389.859985,-4458.9,930.9599850000004,NA
2018-07-13,NA,AMZN,0,0,1813.030029,1813.030029,4383200,3,5439.0900870000005,-4458.9,980.1900870000009,NA
2018-07-16,NA,AMZN,0,0,1822.48999,1822.48999,5466200,3,5467.46997,-4458.9,1008.5699700000005,NA
2018-07-17,NA,AMZN,0,0,1843.930054,1843.930054,5682900,3,5531.790161999999,-4458.9,1072.8901619999997,NA
2018-07-18,NA,AMZN,0,0,1842.920044,1842.920044,4861900,3,5528.760131999999,-4458.9,1069.8601319999998,NA
2018-07-19,NA,AMZN,0,0,1812.969971,1812.969971,4676900,3,5438.9099129999995,-4458.9,980.0099129999999,NA
2018-07-20,NA,AMZN,0,0,1813.699951,1813.699951,3884400,3,5441.099853,-4458.9,982.1998530000001,NA
2018-07-23,NA,AMZN,0,0,1802,1802,3888500,3,5406,-4458.9,947.1000000000004,NA
2018-07-24,NA,AMZN,0,0,1829.23999,1829.23999,4278700,3,5487.71997,-4458.9,1028.8199700000005,NA
2018-07-25,NA,AMZN,0,0,1863.609985,1863.609985,3738200,3,5590.829955,-4458.9,1131.9299550000005,NA
2018-07-26,NA,AMZN,0,0,1808,1808,9924400,3,5424,-4458.9,965.1000000000004,NA
2018-07-27,NA,AMZN,0,0,1817.27002,1817.27002,9681000,3,5451.81006,-4458.9,992.9100600000002,NA
2018-07-30,NA,AMZN,0,0,1779.219971,1779.219971,6562300,3,5337.6599129999995,-4458.9,878.7599129999999,NA
2018-07-31,sell,AMZN,-2,1777.8,1777.439941,1777.439941,5738700,1,1777.439941,-908.29,869.1499410000001,4
2018-08-01,NA,AMZN,0,0,1797.170044,1797.170044,4153100,1,1797.170044,-908.29,888.880044,NA
2018-08-02,NA,AMZN,0,0,1834.329956,1834.329956,4354700,1,1834.329956,-908.29,926.0399560000001,NA
2018-08-03,NA,AMZN,0,0,1823.290039,1823.290039,3460500,1,1823.290039,-908.29,915.000039,NA
2018-08-06,NA,AMZN,0,0,1847.75,1847.75,3391800,1,1847.75,-908.29,939.46,NA
2018-08-07,NA,AMZN,0,0,1862.47998,1862.47998,3377500,1,1862.47998,-908.29,954.1899800000001,NA
2018-08-08,NA,AMZN,0,0,1886.52002,1886.52002,3963000,1,1886.52002,-908.29,978.23002,NA
2018-08-09,NA,AMZN,0,0,1898.52002,1898.52002,4849900,1,1898.52002,-908.29,990.23002,NA
2018-08-10,NA,AMZN,0,0,1886.300049,1886.300049,3639900,1,1886.300049,-908.29,978.010049,NA
2018-08-13,NA,AMZN,0,0,1896.199951,1896.199951,5512600,1,1896.199951,-908.29,987.9099510000001,NA
2018-08-14,NA,AMZN,0,0,1919.650024,1919.650024,3986100,1,1919.650024,-908.29,1011.3600240000001,NA
2018-08-15,NA,AMZN,0,0,1882.619995,1882.619995,7700700,1,1882.619995,-908.29,974.329995,NA
2018-08-16,NA,AMZN,0,0,1886.52002,1886.52002,3957100,1,1886.52002,-908.29,978.23002,NA
2018-08-17,NA,AMZN,0,0,1882.219971,1882.219971,4104300,1,1882.219971,-908.29,973.929971,NA
2018-08-20,NA,AMZN,0,0,1876.709961,1876.709961,2862000,1,1876.709961,-908.29,968.4199610000001,NA
2018-08-21,NA,AMZN,0,0,1883.420044,1883.420044,3105600,1,1883.420044,-908.29,975.130044,NA
2018-08-22,NA,AMZN,0,0,1904.900024,1904.900024,3080500,1,1904.900024,-908.29,996.6100240000001,NA
2018-08-23,NA,AMZN,0,0,1902.900024,1902.900024,3563000,1,1902.900024,-908.29,994.6100240000001,NA
2018-08-24,NA,AMZN,0,0,1905.390015,1905.390015,2800900,1,1905.390015,-908.29,997.100015,NA
2018-08-27,NA,AMZN,0,0,1927.680054,1927.680054,3569000,1,1927.680054,-908.29,1019.390054,NA
2018-08-28,NA,AMZN,0,0,1932.819946,1932.819946,3100700,1,1932.819946,-908.29,1024.529946,NA
2018-08-29,NA,AMZN,0,0,1998.099976,1998.099976,6531800,1,1998.099976,-908.29,1089.809976,NA
2018-08-30,NA,AMZN,0,0,2002.380005,2002.380005,7277300,1,2002.380005,-908.29,1094.090005,NA
2018-08-31,NA,AMZN,0,0,2012.709961,2012.709961,4204400,1,2012.709961,-908.29,1104.419961,NA
2018-09-04,NA,AMZN,0,0,2039.51001,2039.51001,5721100,1,2039.51001,-908.29,1131.22001,NA
2018-09-05,NA,AMZN,0,0,1994.819946,1994.819946,8220600,1,1994.819946,-908.29,1086.529946,NA
2018-09-06,NA,AMZN,0,0,1958.310059,1958.310059,7488700,1,1958.310059,-908.29,1050.020059,NA
2018-09-07,NA,AMZN,0,0,1952.069946,1952.069946,4892600,1,1952.069946,-908.29,1043.779946,NA
2018-09-10,NA,AMZN,0,0,1939.01001,1939.01001,4544800,1,1939.01001,-908.29,1030.72001,NA
